ID,Kingdom,Phylum,Class,Order,Family,Genus,Figure 3b,Figure 4 & 5,Day 0,Day 24,Day 181,Day 217,Day 356,Day 372,TOTAL
ASV18,Bacteria,Proteobacteria,Gammaproteobacteria,1013-28-CG33,1013-28-CG33_fa,1013-28-CG33_ge,ASV <2% abundance,None,0,0,0.008376812,0.006826087,0.014101449,0.023710145,0.008835749
ASV19,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,ASV <2% abundance,None,0.000768116,0.000362319,0.014130435,0.010289855,0.013347826,0.011043478,0.008323671
ASV26,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.025521739,0.013289855,0.000942029,0.00126087,0.000623188,0.000217391,0.006975845
ASV24,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,Cloacimonadaceae_unclassified,ASV <2% abundance,None,7.25E-05,0,0.011115942,0.009855072,0.004826087,0.006391304,0.005376812
ASV27,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,ASV <2% abundance,None,0,0,0.006768116,0.005550725,0.012913043,0.003072464,0.004717391
ASV29,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV <2% abundance,None,0,0,0.009144928,0.008217391,0.004884058,0.004014493,0.004376812
ASV42,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora,ASV <2% abundance,None,0.006768116,0.017478261,0,0,0,0,0.004041063
ASV30,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Blvii28_wastewater-sludge_group,ASV <2% abundance,None,0,0,0.008666667,0.005449275,0.004463768,0.004463768,0.00384058
ASV37,Bacteria,Actinobacteria,Coriobacteriia,OPB41,OPB41_fa,OPB41_ge,ASV <2% abundance,None,0.00642029,0.009666667,0.001014493,0.001724638,0.003478261,0.000594203,0.003816425
ASV39,Bacteria,Firmicutes,Bacilli,Bacillales,Family_XII,Exiguobacterium,ASV <2% abundance,None,0.013884058,0.007449275,0,0,0,0,0.003555556
ASV34,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,ASV <2% abundance,None,0,0,0.007043478,0.004507246,0.004492754,0.003173913,0.003202899
ASV35,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrococcales,Nitrococcales_unclassified,Nitrococcales_unclassified,ASV <2% abundance,None,0,0,0.003507246,0.003072464,0.005971014,0.005942029,0.003082126
ASV44,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.002956522,0.003942029,0.002391304,0.001869565,0.002710145,0.002826087,0.002782609
ASV43,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_1,ASV <2% abundance,None,0.003521739,0.000956522,0.002753623,0.003014493,0.002869565,0.002913043,0.002671498
ASV40,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,ASV <2% abundance,None,0.005115942,0,0.001797101,0.002884058,0.003028986,0.003014493,0.002640097
ASV55,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.00326087,0.012130435,0,5.80E-05,0,0,0.002574879
ASV38,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,ASV <2% abundance,None,0,0,0.00115942,0.002115942,0.004724638,0.007275362,0.002545894
ASV63,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.000550725,0.01442029,0,0,0,0,0.002495169
ASV51,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,ASV <2% abundance,None,0.002565217,0.005594203,0.001898551,0.002,0.000971014,0.000695652,0.00228744
ASV50,Bacteria,Atribacteria,Caldatribacteriia,Caldatribacteriales,Caldatribacteriaceae,Candidatus_Caldatribacterium,ASV <2% abundance,None,0.003971014,0.001942029,0.002188406,0.002710145,0.001536232,0.000956522,0.002217391
ASV73,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_4,Clostridiaceae_4_unclassified,ASV <2% abundance,None,0.000681159,0.01215942,0,0,0,0,0.002140097
ASV48,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,ASV <2% abundance,None,7.25E-05,0,0.001449275,0.004231884,0.004710145,0.002101449,0.002094203
ASV56,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Psychrobacillus,ASV <2% abundance,None,0.01042029,0.001057971,0,0,0,0,0.001913043
ASV60,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Family_XI_unclassified,ASV <2% abundance,None,0.007695652,0.003362319,0.000115942,0,0,0,0.001862319
ASV53,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacteraceae_unclassified,ASV <2% abundance,None,0,0,0.002014493,0.001724638,0.004304348,0.002623188,0.001777778
ASV65,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacteriaceae_unclassified,ASV <2% abundance,None,0.002246377,0.006188406,0.000855072,0.000724638,0.000362319,0.000231884,0.001768116
ASV52,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,ASV <2% abundance,None,0,0,0.002101449,0.002797101,0.00326087,0.002130435,0.001714976
ASV67,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Sedimentibacter,ASV <2% abundance,None,0.004043478,0.004028986,0.00073913,0.000710145,0.000449275,0.000246377,0.001702899
ASV58,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,ASV <2% abundance,None,0.009869565,0,0,0,0,0,0.001644928
ASV57,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV <2% abundance,None,0.000304348,0.000391304,0.003434783,0.003101449,0.001246377,0.001304348,0.001630435
ASV62,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,ASV <2% abundance,None,0.009623188,0,0,0,0,0,0.001603865
ASV71,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcaceae_unclassified,ASV <2% abundance,None,0.006202899,0.003333333,0,0,0,0,0.001589372
ASV61,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,ASV <2% abundance,None,0.005826087,0.000130435,0.001,0.00126087,0.000376812,0.000376812,0.001495169
ASV85,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora,ASV <2% abundance,None,0.002304348,0.004768116,0.000318841,0.000507246,0.000130435,0,0.001338164
ASV83,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,possible_genus_Sk018,ASV <2% abundance,None,0.004637681,0.003231884,0,0,0,0,0.001311594
ASV64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Caenispirillum,ASV <2% abundance,None,0,0,0.001898551,0.002811594,0.002115942,0.001014493,0.001306763
ASV74,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,ASV <2% abundance,None,0.006246377,0,0.000507246,0.000362319,0.00026087,0.000173913,0.001258454
ASV101,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora,ASV <2% abundance,None,0.001594203,0.005884058,0,0,0,0,0.001246377
ASV113,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,ASV <2% abundance,None,0,0.007376812,0,0,0,0,0.001229469
ASV70,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,ASV <2% abundance,None,0.000115942,0,0.002695652,0.001913043,0.001898551,0.000681159,0.001217391
ASV109,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Family_XI_ge,ASV <2% abundance,None,0.001072464,0.006173913,0,0,0,0,0.001207729
ASV76,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.000869565,0.001507246,0.001811594,0.001695652,0.000956522,0.000362319,0.001200483
ASV93,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_ge,ASV <2% abundance,None,0.00226087,0.004927536,0,0,0,0,0.001198068
ASV69,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Blvii28_wastewater-sludge_group,ASV <2% abundance,None,0,0,0.00142029,0.001391304,0.001637681,0.002695652,0.001190821
ASV68,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV <2% abundance,None,0,0,0.002405797,0.002144928,0.00142029,0.001144928,0.00118599
ASV87,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,ASV <2% abundance,None,0.001985507,0.002956522,0.000681159,0.000884058,0.000376812,0.000188406,0.001178744
ASV72,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,ASV <2% abundance,None,0,0,0.001434783,0.00142029,0.002202899,0.001927536,0.001164251
ASV79,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,ASV <2% abundance,None,0.006927536,0,0,0,0,0,0.001154589
ASV105,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010,ASV <2% abundance,None,0.001898551,0.004898551,0,5.80E-05,0,0,0.001142512
ASV78,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_unclassified,ASV <2% abundance,None,0.005463768,0,0.000565217,0.000333333,0.00026087,0.000144928,0.001128019
ASV89,Bacteria,Firmicutes,Bacilli,Bacillales,Family_XII,Exiguobacterium,ASV <2% abundance,None,0.004,0.002478261,0,0,0,0,0.00107971
ASV75,Bacteria,Firmicutes,Clostridia,Clostridia_unclassified,Clostridia_unclassified,Clostridia_unclassified,ASV <2% abundance,None,0.000101449,0.000217391,0.001565217,0.00126087,0.001724638,0.001521739,0.001065217
ASV84,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Psychrobacillus,ASV <2% abundance,None,0.006347826,0,0,0,0,0,0.001057971
ASV103,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,ASV <2% abundance,None,0.00273913,0.003536232,0,0,0,0,0.001045894
ASV81,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,uncultured,ASV <2% abundance,None,0,0,0.002101449,0.001565217,0.000971014,0.001246377,0.000980676
ASV98,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora,ASV <2% abundance,None,0.004753623,0.000782609,0,0,0,0,0.000922705
ASV108,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9,ASV <2% abundance,None,0.004028986,0.001449275,0,0,0,0,0.000913043
ASV111,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,ASV <2% abundance,None,0.000666667,0.002289855,0.000521739,0.001028986,0.000536232,0.000275362,0.000886473
ASV115,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,ASV <2% abundance,None,0.001115942,0.002362319,0.001086957,0.000594203,0,0,0.000859903
ASV91,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,ASV <2% abundance,None,0.00515942,0,0,0,0,0,0.000859903
ASV88,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Rhodocyclaceae_unclassified,ASV <2% abundance,None,0,0,0.001753623,0.001782609,0.000985507,0.000594203,0.000852657
ASV137,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV <2% abundance,None,0,0.004898551,7.25E-05,0,0,2.90E-05,0.000833333
ASV132,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,ASV <2% abundance,None,0.001376812,0.003492754,0,0,0,0,0.000811594
ASV110,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Sedimentibacter,ASV <2% abundance,None,0.004202899,0.000536232,0,0,0,0,0.000789855
ASV129,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.001289855,0.003434783,0,0,0,0,0.00078744
ASV119,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.003,0.001478261,0.000101449,0.000101449,0,0,0.000780193
ASV114,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,uncultured,ASV <2% abundance,None,0.003434783,0.000869565,7.25E-05,0.000130435,0.000144928,0,0.000775362
ASV139,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,ASV <2% abundance,None,0.000536232,0.004072464,0,0,0,0,0.000768116
ASV99,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,ASV <2% abundance,None,0,0,0.000521739,0.000869565,0.001724638,0.001304348,0.000736715
ASV117,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,ASV <2% abundance,None,0.003797101,0.00057971,0,0,0,0,0.000729469
ASV92,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,ASV <2% abundance,None,1.45E-05,0,0.000768116,0.001231884,0.001855072,0.000434783,0.000717391
ASV124,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Sedimentibacter,ASV <2% abundance,None,0.001811594,0.001695652,0.000173913,0.000202899,0.000217391,0.000144928,0.000707729
ASV122,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_unclassified,ASV <2% abundance,None,0.003130435,0.001043478,5.80E-05,0,0,0,0.000705314
ASV104,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Thermincola,ASV <2% abundance,None,0,0.000275362,0.000884058,0.000884058,0.000971014,0.000971014,0.000664251
ASV106,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,ASV <2% abundance,None,0,0,0.000971014,0.001304348,0.001,0.000695652,0.000661836
ASV120,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,ASV <2% abundance,None,0.003956522,0,0,0,0,0,0.00065942
ASV131,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_4,Caminicella,ASV <2% abundance,None,0.00073913,0.002,0.000347826,0.00026087,0.000246377,0.00026087,0.000642512
ASV118,Bacteria,Firmicutes,Clostridia,Clostridia_unclassified,Clostridia_unclassified,Clostridia_unclassified,ASV <2% abundance,None,8.70E-05,0.000347826,0.000927536,0.001478261,0.000463768,0.000347826,0.000608696
ASV136,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Family_XI_ge,ASV <2% abundance,None,0.002434783,0.001144928,4.35E-05,0,0,0,0.000603865
ASV142,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,ASV <2% abundance,None,0.001811594,0.001753623,0,0,0,0,0.000594203
ASV150,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_ge,ASV <2% abundance,None,0.001304348,0.002101449,0,0,0,0,0.000567633
ASV162,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.000753623,0.002449275,0.000130435,0,0,0,0.000555556
ASV168,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_4,Clostridiaceae_4_unclassified,ASV <2% abundance,None,0.000985507,0.00226087,0,0,0,0,0.000541063
ASV141,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.001869565,0.001333333,4.35E-05,0,0,0,0.000541063
ASV146,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,ASV <2% abundance,None,0.000492754,0.001231884,0.00057971,0.000275362,0.000362319,0.000188406,0.000521739
ASV165,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,ASV <2% abundance,None,0.001028986,0.002086957,0,0,0,0,0.000519324
ASV186,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,ASV <2% abundance,None,0,0.003072464,0,0,0,0,0.000512077
ASV130,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,uncultured,ASV <2% abundance,None,0,0,0.000623188,0.000811594,0.001217391,0.00042029,0.000512077
ASV158,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,ASV <2% abundance,None,0.001768116,0.001275362,0,0,0,0,0.000507246
ASV149,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,ASV <2% abundance,None,0.000289855,0.001275362,0.000434783,0.000536232,0.00026087,0.000246377,0.000507246
ASV134,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Dehalobacterium,ASV <2% abundance,None,0.000913043,0,0.000362319,0.000768116,0.000652174,0.000217391,0.000485507
ASV181,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Syntrophobotulus,ASV <2% abundance,None,0.000507246,0.002391304,0,0,0,0,0.000483092
ASV148,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,ASV <2% abundance,None,0.002811594,0,0,0,0,0,0.000468599
ASV177,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,ASV <2% abundance,None,0.000710145,0.002057971,0,0,0,0,0.000461353
ASV190,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,possible_genus_Sk018,ASV <2% abundance,None,0.000391304,0.002304348,0,0,0,0,0.000449275
ASV157,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,ASV <2% abundance,None,0.000289855,0.00057971,0.000463768,0.000623188,0.000492754,0.000173913,0.000437198
ASV187,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.000492754,0.002101449,0,0,0,0,0.000432367
ASV127,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.000101449,0,0.000246377,0.000188406,0.000347826,0.001652174,0.000422705
ASV145,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rugamonas,ASV <2% abundance,None,0,0,0.000927536,0.000826087,0.000376812,0.000405797,0.000422705
ASV167,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,ASV <2% abundance,None,0.001449275,0.000652174,8.70E-05,0.000115942,0.000217391,0,0.00042029
ASV144,Bacteria,Firmicutes,Clostridia,Clostridia_unclassified,Clostridia_unclassified,Clostridia_unclassified,ASV <2% abundance,None,0,0,0.00057971,0.000971014,0.000652174,0.000275362,0.000413043
ASV143,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rugamonas,ASV <2% abundance,None,0,0,0.00084058,0.000898551,0.000478261,0.000231884,0.000408213
ASV204,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridiaceae_1_unclassified,ASV <2% abundance,None,0.000463768,0.001956522,0,0,0,0,0.000403382
ASV140,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Family_XI_unclassified,ASV <2% abundance,None,0,0,0.000623188,0.001057971,0.000449275,0.000275362,0.000400966
ASV154,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,ASV <2% abundance,None,0.002405797,0,0,0,0,0,0.000400966
ASV159,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckiaceae_unclassified,ASV <2% abundance,None,0.001463768,0.000478261,0.00015942,0.000115942,0.000115942,2.90E-05,0.00039372
ASV178,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.000333333,0.001028986,0.000478261,0.000507246,0,0,0.000391304
ASV163,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcaceae_unclassified,ASV <2% abundance,None,0.002318841,0,0,0,0,0,0.000386473
ASV164,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,ASV <2% abundance,None,0.000275362,0.000666667,0.000304348,0.000608696,0.000333333,0.000115942,0.000384058
ASV188,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9,ASV <2% abundance,None,0.001478261,0.000811594,0,0,0,0,0.000381643
ASV179,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,ASV <2% abundance,None,0.000463768,0.001304348,0.000217391,0.000275362,0,0,0.000376812
ASV180,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium,ASV <2% abundance,None,0.001681159,0.000492754,0,0,0,0,0.000362319
ASV152,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacteraceae_unclassified,ASV <2% abundance,None,0,0,0.000289855,0.00026087,0.001014493,0.000608696,0.000362319
ASV155,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,EBM-39,ASV <2% abundance,None,0,0,0.00026087,0.000405797,0.001014493,0.000449275,0.000355072
ASV200,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,ASV <2% abundance,None,0.000826087,0.001275362,0,0,0,0,0.000350242
ASV160,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea,ASV <2% abundance,None,0,0,0.000362319,0.000246377,0.000971014,0.000507246,0.000347826
ASV185,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_1,ASV <2% abundance,None,0.001130435,0.000956522,0,0,0,0,0.000347826
ASV166,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_ge,ASV <2% abundance,None,0,0,0.000217391,0.000144928,0.000521739,0.001115942,0.000333333
ASV199,Bacteria,Actinobacteria,Coriobacteriia,OPB41,OPB41_fa,OPB41_ge,ASV <2% abundance,None,0.001289855,0.000536232,0,0.000115942,0,0,0.000323671
ASV193,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_unclassified,ASV <2% abundance,None,0,0.000898551,0.000275362,0.000405797,0.000246377,0.000101449,0.000321256
ASV170,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,ASV <2% abundance,None,0,0.000173913,0.000333333,0.000405797,0.000463768,0.000550725,0.000321256
ASV173,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,ASV <2% abundance,None,0,0,0.000376812,0.000405797,0.000710145,0.00042029,0.000318841
ASV191,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,possible_genus_Sk018,ASV <2% abundance,None,0.001884058,0,0,0,0,0,0.00031401
ASV218,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora,ASV <2% abundance,None,0.000478261,0.001231884,0.000144928,0,0,0,0.000309179
ASV153,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,EBM-39,ASV <2% abundance,None,0,0,0.000246377,0.000449275,0.000927536,0.000231884,0.000309179
ASV192,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,ASV <2% abundance,None,0.00184058,0,0,0,0,0,0.000306763
ASV184,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,ASV <2% abundance,None,0.000449275,0.000710145,0.000246377,0.000231884,0.000188406,0,0.000304348
ASV227,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonosporaceae_unclassified,ASV <2% abundance,None,0.000333333,0.001478261,0,0,0,0,0.000301932
